"事業者名","事業者名(愛称)","事業者名(愛称2)","事業者名読み","会社色","事業者区分","区分ごとの並び順"
"北海道旅客鉄道株式会社","JR北海道","JR北海道",,"#44AF35","JR",1
"東日本旅客鉄道株式会社","JR東日本","JR東日本",,"#008803","JR",2
"東海旅客鉄道株式会社","JR東海","JR東海",,"#EE6D00","JR",3
"西日本旅客鉄道株式会社","JR西日本","JR西日本",,"#0068B7","JR",4
"四国旅客鉄道株式会社","JR四国","JR四国",,"#309AC3","JR",5
"九州旅客鉄道株式会社","JR九州","JR九州",,"#E50012","JR",6
"日本貨物鉄道株式会社","JR貨物","JR貨物",,,"JR",7
"東武鉄道株式会社","東武鉄道","東武",,,"大手私鉄",1
"西武鉄道株式会社","西武鉄道","西武",,,"大手私鉄",2
"京成電鉄株式会社","京成電鉄","京成",,"#005BAC","大手私鉄",3
"京王電鉄株式会社","京王電鉄","京王",,,"大手私鉄",4
"東京急行電鉄株式会社","東京急行電鉄","東急",,,"大手私鉄",5
"京浜急行電鉄株式会社","京浜急行電鉄","京急",,,"大手私鉄",6
"東京地下鉄株式会社","東京地下鉄","東京メトロ",,,"大手私鉄",7
"小田急電鉄株式会社","小田急電鉄","小田急",,,"大手私鉄",8
"相模鉄道株式会社","相模鉄道","相鉄",,"#2D50A0","大手私鉄",9
"名古屋鉄道株式会社","名古屋鉄道","名鉄",,"#CF1D2D","大手私鉄",10
"近畿日本鉄道株式会社","近畿日本鉄道","近鉄",,,"大手私鉄",11
"南海電気鉄道株式会社","南海電気鉄道","南海",,,"大手私鉄",12
"京阪電気鉄道株式会社","京阪電気鉄道","京阪",,,"大手私鉄",13
"阪神電気鉄道株式会社","阪神電気鉄道","阪神",,,"大手私鉄",14
"阪急電鉄株式会社","阪急電鉄","阪急",,,"大手私鉄",15
"西日本鉄道株式会社","西日本鉄道","西鉄",,,"大手私鉄",16
"新京成電鉄株式会社","新京成電鉄","新京成",,,"準大手私鉄",1
"泉北高速鉄道株式会社","泉北高速鉄道","泉北高速鉄道",,,"準大手私鉄",2
"北大阪急行電鉄株式会社","北大阪急行電鉄","北大阪急行",,,"準大手私鉄",3
"山陽電気鉄道株式会社","山陽電気鉄道","山陽",,"#E84847","準大手私鉄",4
"神戸高速鉄道株式会社","神戸高速鉄道","神戸高速鉄道",,,"準大手私鉄",5
"道南いさりび鉄道株式会社","道南いさりび鉄道","道南いさりび鉄道","どうなんいさりびてつどうかぶしきがいしゃ","#F46E21","中小私鉄(北海道)",1
"札幌市（交通局）","札幌市交通局","札幌市営",,,"中小私鉄(北海道)",2
"函館市（企業局）","函館市企業局","函館市営",,,"中小私鉄(北海道)",3
"津軽鉄道株式会社","津軽鉄道","津軽鉄道","つがるてつどうかぶしきがいしゃ",,"中小私鉄(東北)",1
"弘南鉄道株式会社","弘南鉄道","弘南鉄道","こうなんてつどうかぶしきがいしゃ",,"中小私鉄(東北)",2
"青森県","青森県","青森県",,,"中小私鉄(東北)",3
"青い森鉄道株式会社","青い森鉄道","青い森鉄道",,"#2CB8DD","中小私鉄(東北)",4
