種類名,路線名(運行系統),路線副名称(運行系統),正式路線,事業者名(簡易),事業者名(id),事業者ごとの並び順,正式区間,運行系統,路線カラー,状態
航路,青函航路,,,,北海道旅客鉄道株式会社,19,1,1,,2
鉄道,江差線,,,,北海道旅客鉄道株式会社,20,1,1,,2
鉄道,松前線,,,,北海道旅客鉄道株式会社,21,1,1,,2
鉄道,瀬棚線,,,,日本国有鉄道,1,1,1,,2
鉄道,岩内線,,,,日本国有鉄道,2,1,1,,2
鉄道,胆振線,,,,日本国有鉄道,3,1,1,,2
鉄道,胆振線,支線,,,日本国有鉄道,4,1,1,,2
鉄道,万字線,,,,日本国有鉄道,5,1,1,,2
鉄道,幌内線,,,,北海道旅客鉄道株式会社,22,1,1,,2
鉄道,幌内線,支線,,,日本国有鉄道,6,1,1,,2
鉄道,函館本線,美唄支線,,,日本国有鉄道,7,1,1,,2
鉄道,函館本線,上砂川支線,,,北海道旅客鉄道株式会社,23,1,1,,2
鉄道,歌志内線,,,,北海道旅客鉄道株式会社,24,1,1,,2
鉄道,札沼線,新十津川～石狩沼田,,,日本国有鉄道,8,1,1,,2
鉄道,夕張線,,,,日本国有鉄道,9,1,1,,2
鉄道,富内線,,,,日本国有鉄道,10,1,1,,2
鉄道,羽幌線,,,,日本国有鉄道,11,1,1,,2
鉄道,標津線,,,,北海道旅客鉄道株式会社,25,1,1,,2
鉄道,標津線,支線,,,北海道旅客鉄道株式会社,26,1,1,,2
鉄道,根北線,,,,日本国有鉄道,12,1,1,,2
鉄道,広尾線,,,,日本国有鉄道,13,1,1,,2
鉄道,士幌線,,,,日本国有鉄道,14,1,1,,2
鉄道,白糠線,,,,日本国有鉄道,15,1,1,,2
鉄道,相生線,,,,日本国有鉄道,16,1,1,,2
鉄道,名寄本線,支線,,,北海道旅客鉄道株式会社,27,1,1,,2
鉄道,湧網線,,,,日本国有鉄道,17,1,1,,2
鉄道,名寄本線,,,,北海道旅客鉄道株式会社,28,1,1,,2
鉄道,深名線,,,,北海道旅客鉄道株式会社,29,1,1,,2
鉄道,渚滑線,,,,日本国有鉄道,18,1,1,,2
鉄道,興浜南線,,,,日本国有鉄道,19,1,1,,2
鉄道,天北線,,,,北海道旅客鉄道株式会社,30,1,1,,2
鉄道,美幸線,,,,日本国有鉄道,20,1,1,,2
鉄道,興浜北線,,,,日本国有鉄道,21,1,1,,2
鉄道,岩泉線,,,,東日本旅客鉄道株式会社,104,1,1,,2
鉄道,川俣線,,,,日本国有鉄道,22,1,1,,2
鉄道,日中線,,,,日本国有鉄道,23,1,1,,2
鉄道,吾妻線,旧線,,,日本国有鉄道,24,1,1,,2
鉄道,五日市線,武蔵五日市～武蔵岩井,,,日本国有鉄道,25,1,1,,2
鉄道,中央本線,支線,,,日本国有鉄道,26,1,1,,2
鉄道,相模線,支線,,,日本国有鉄道,27,1,1,,2
鉄道,信越本線,横川～軽井沢,,,東日本旅客鉄道株式会社,105,1,1,,2
鉄道,赤谷線,,,,日本国有鉄道,28,1,1,,2
鉄道,魚沼線,,,,日本国有鉄道,29,1,1,,2
鉄道,弥彦線,東三条～越後長沢,,,日本国有鉄道,30,1,1,,2
