種類名,路線名(id),路線名(id),路線区別名(id),路線事業者(id),事業者ごとの並び順,貨物,状態
航路,青函航路,青函航路,,北海道旅客鉄道株式会社,19,,2
鉄道,江差線,江差線,,北海道旅客鉄道株式会社,20,,2
鉄道,松前線,松前線,,北海道旅客鉄道株式会社,21,,2
鉄道,瀬棚線,瀬棚線,,日本国有鉄道,1,,2
鉄道,岩内線,岩内線,,日本国有鉄道,2,,2
鉄道,胆振線,胆振線,,日本国有鉄道,3,,2
鉄道,胆振線,胆振線,支線,日本国有鉄道,4,,2
鉄道,万字線,万字線,,日本国有鉄道,5,,2
鉄道,幌内線,幌内線,,北海道旅客鉄道株式会社,22,,2
鉄道,幌内線,幌内線,支線,日本国有鉄道,6,,2
鉄道,函館線,函館本線,美唄支線,日本国有鉄道,7,,2
鉄道,函館線,函館本線,上砂川支線,北海道旅客鉄道株式会社,23,,2
鉄道,歌志内線,歌志内線,,北海道旅客鉄道株式会社,24,,2
鉄道,札沼線,札沼線,新十津川～石狩沼田,日本国有鉄道,8,,2
鉄道,夕張線,夕張線,,日本国有鉄道,9,,2
鉄道,富内線,富内線,,日本国有鉄道,10,,2
鉄道,羽幌線,羽幌線,,日本国有鉄道,11,,2
鉄道,標津線,標津線,,北海道旅客鉄道株式会社,25,,2
鉄道,標津線,標津線,支線,北海道旅客鉄道株式会社,26,,2
鉄道,根北線,根北線,,日本国有鉄道,12,,2
鉄道,広尾線,広尾線,,日本国有鉄道,13,,2
鉄道,士幌線,士幌線,,日本国有鉄道,14,,2
鉄道,白糠線,白糠線,,日本国有鉄道,15,,2
鉄道,相生線,相生線,,日本国有鉄道,16,,2
鉄道,名寄線,名寄本線,支線,北海道旅客鉄道株式会社,27,,2
鉄道,湧網線,湧網線,,日本国有鉄道,17,,2
鉄道,名寄線,名寄本線,,北海道旅客鉄道株式会社,28,,2
鉄道,深名線,深名線,,北海道旅客鉄道株式会社,29,,2
鉄道,渚滑線,渚滑線,,日本国有鉄道,18,,2
鉄道,興浜南線,興浜南線,,日本国有鉄道,19,,2
鉄道,天北線,天北線,,北海道旅客鉄道株式会社,30,,2
鉄道,美幸線,美幸線,,日本国有鉄道,20,,2
鉄道,興浜北線,興浜北線,,日本国有鉄道,21,,2
鉄道,岩泉線,岩泉線,,東日本旅客鉄道株式会社,90,,2
