種類名,乗換駅,乗換駅の路線事業者,乗換駅の路線,グループ駅路線区別名,駅名,路線事業者(id),路線名(id),路線区別名(id),路線ごとの並び順,駅名読み,都道府県名,開業日,廃止日,経度,緯度,状態(旧)
駅,,,,,函館,北海道旅客鉄道株式会社,函館本線,,1,はこだて,北海道,,,140.726413,41.773709,0
駅,,,,,五稜郭,北海道旅客鉄道株式会社,函館本線,,2,ごりょうかく,北海道,,,140.733539,41.803557,0
駅,,,,,桔梗,北海道旅客鉄道株式会社,函館本線,,3,ききょう,北海道,,,140.722952,41.846457,0
駅,,,,,大中山,北海道旅客鉄道株式会社,函館本線,,4,おおなかやま,北海道,,,140.71358,41.864641,0
駅,,,,,七飯,北海道旅客鉄道株式会社,函館本線,,5,ななえ,北海道,,,140.688556,41.886971,0
駅,,,,,新函館北斗,北海道旅客鉄道株式会社,函館本線,,6,しんはこだてほくと,北海道,,,140.646525,41.9054,0
駅,,,,,仁山,北海道旅客鉄道株式会社,函館本線,,7,にやま,北海道,,,140.635183,41.930011,0
駅,,,,,大沼,北海道旅客鉄道株式会社,函館本線,,8,おおぬま,北海道,,,140.669347,41.971954,0
駅,,,,,大沼公園,北海道旅客鉄道株式会社,函館本線,,9,おおぬまこうえん,北海道,,,140.669758,41.980958,0
駅,,,,,赤井川,北海道旅客鉄道株式会社,函館本線,,10,あかいがわ,北海道,,,140.642678,42.003267,0
駅,,,,,駒ヶ岳,北海道旅客鉄道株式会社,函館本線,,11,こまがたけ,北海道,,,140.610476,42.038809,0
駅,,,,,東山,北海道旅客鉄道株式会社,函館本線,,12,ひがしやま,北海道,,,,,2
駅,,,,,姫川,北海道旅客鉄道株式会社,函館本線,,13,ひめかわ,北海道,,,,,2
駅,,,,,森,北海道旅客鉄道株式会社,函館本線,,14,もり,北海道,,,140.573846,42.108917,0
駅,,,,,桂川,北海道旅客鉄道株式会社,函館本線,,15,かつらがわ,北海道,,,140.5427876,42.1156004,2
駅,,,,,石谷,北海道旅客鉄道株式会社,函館本線,,16,いしや,北海道,,,140.506525,42.135519,0
駅,,,,,本石倉,北海道旅客鉄道株式会社,函館本線,,17,ほんいしくら,北海道,,,140.471957,42.159668,0
駅,,,,,石倉,北海道旅客鉄道株式会社,函館本線,,18,いしくら,北海道,,,140.458436,42.17285,0
駅,,,,,落部,北海道旅客鉄道株式会社,函館本線,,19,おとしべ,北海道,,,140.420755,42.187617,0
駅,,,,,野田生,北海道旅客鉄道株式会社,函館本線,,20,のだおい,北海道,,,140.37586,42.217104,0
駅,,,,,山越,北海道旅客鉄道株式会社,函館本線,,21,やまこし,北海道,,,140.326593,42.231172,0
駅,,,,,八雲,北海道旅客鉄道株式会社,函館本線,,22,やくも,北海道,,,140.273342,42.253391,0
駅,,,,,鷲ノ巣,北海道旅客鉄道株式会社,函館本線,,23,わしのす,北海道,,,140.269919,42.278389,2
駅,,,,,山崎,北海道旅客鉄道株式会社,函館本線,,24,やまさき,北海道,,,140.2746,42.314635,0
駅,,,,,黒岩,北海道旅客鉄道株式会社,函館本線,,25,くろいわ,北海道,,,140.288173,42.368296,0
駅,,,,,北豊津,北海道旅客鉄道株式会社,函館本線,,26,きたとよつ,北海道,,,140.297868,42.400969,2
駅,,,,,国縫,北海道旅客鉄道株式会社,函館本線,,27,くんぬい,北海道,,,140.320885,42.439319,0
駅,,,,,中ノ沢,北海道旅客鉄道株式会社,函館本線,,28,なかのさわ,北海道,,,140.346077,42.477928,0
駅,,,,,長万部,北海道旅客鉄道株式会社,函館本線,,29,おしゃまんべ,北海道,,,140.37507,42.512477,0
駅,,,,,二股,北海道旅客鉄道株式会社,函館本線,,30,ふたまた,北海道,,,140.320821,42.575869,0
駅,,,,,蕨岱,北海道旅客鉄道株式会社,函館本線,,31,わらびたい,北海道,,,140.313353,42.626353,2
駅,,,,,黒松内,北海道旅客鉄道株式会社,函館本線,,32,くろまつない,北海道,,,140.305704,42.669608,0
駅,,,,,熱郛,北海道旅客鉄道株式会社,函館本線,,33,ねっぷ,北海道,,,140.375084,42.675653,0
駅,,,,,目名,北海道旅客鉄道株式会社,函館本線,,34,めな,北海道,,,140.465742,42.761432,0
駅,,,,,蘭越,北海道旅客鉄道株式会社,函館本線,,35,らんこし,北海道,,,140.52894,42.804542,0
駅,,,,,昆布,北海道旅客鉄道株式会社,函館本線,,36,こんぶ,北海道,,,140.596107,42.797984,0
駅,,,,,ニセコ,北海道旅客鉄道株式会社,函館本線,,37,にせこ,北海道,,,140.684588,42.808746,0
駅,,,,,比羅夫,北海道旅客鉄道株式会社,函館本線,,38,ひらふ,北海道,,,140.722615,42.84856,0
駅,,,,,倶知安,北海道旅客鉄道株式会社,函館本線,,39,くっちゃん,北海道,,,140.745471,42.90164,0
駅,,,,,小沢,北海道旅客鉄道株式会社,函館本線,,40,こざわ,北海道,,,140.677657,42.97185,0
駅,,,,,銀山,北海道旅客鉄道株式会社,函館本線,,41,ぎんざん,北海道,,,140.715321,43.040888,0
駅,,,,,然別,北海道旅客鉄道株式会社,函館本線,,42,しかりべつ,北海道,,,140.737211,43.12551,0
駅,,,,,仁木,北海道旅客鉄道株式会社,函館本線,,43,にき,北海道,,,140.770546,43.154091,0
駅,,,,,余市,北海道旅客鉄道株式会社,函館本線,,44,よいち,北海道,,,140.794686,43.186558,0
駅,,,,,蘭島,北海道旅客鉄道株式会社,函館本線,,45,らんしま,北海道,,,140.854643,43.19651,0
駅,,,,,塩谷,北海道旅客鉄道株式会社,函館本線,,46,しおや,北海道,,,140.924546,43.202406,0
駅,,,,,小樽,北海道旅客鉄道株式会社,函館本線,,47,おたる,北海道,,,140.993653,43.197172,0
駅,,,,,南小樽,北海道旅客鉄道株式会社,函館本線,,48,みなみおたる,北海道,,,141.007883,43.186529,0
駅,,,,,小樽築港,北海道旅客鉄道株式会社,函館本線,,49,おたるちっこう,北海道,,,141.029051,43.180752,0
