種類名,駅グループ名,駅グループ事業者,駅グループ路線名,駅グループ路線区別名,駅グループ路線正式区間,駅グループ路線運行系統,駅グループの路線ごとの並び順,駅名,駅名(正式)[id],駅の路線の事業者[id],駅の路線[id],駅の路線区別名[id],駅の路線の事業者[id],路線名(運行系統)[id],路線区別名(運行系統)[id],路線[正式区間][id],路線[運行系統][id],ナンバリング接頭辞,路線記号,ナンバリングハイフン,駅番号,路線(運行系統)ごとの並び順,駅カラー
駅,,,,,,,,函館,函館,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,75,1,#0068B7
駅,,,,,,,,五稜郭,五稜郭,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,74,2,#0068B7
駅,,,,,,,,桔梗,桔梗,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,73,3,#0068B7
駅,,,,,,,,大中山,大中山,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,72,4,#0068B7
駅,,,,,,,,七飯,七飯,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,71,5,#0068B7
駅,,,,,,,,新函館北斗,新函館北斗,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,70,6,#0068B7
駅,,,,,,,,仁山,仁山,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,69,7,#0068B7
駅,,,,,,,,大沼,大沼,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,68,8,#0068B7
駅,,,,,,,,大沼公園,大沼公園,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,67,9,#0068B7
駅,,,,,,,,赤井川,赤井川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,66,10,#0068B7
駅,,,,,,,,駒ヶ岳,駒ヶ岳,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,65,11,#0068B7
駅,,,,,,,,東山,東山,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,64,12,#0068B7
駅,,,,,,,,姫川,姫川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,63,13,#0068B7
駅,,,,,,,,森,森,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,62,14,#0068B7
駅,,,,,,,,桂川,桂川,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,61,15,#0068B7
駅,,,,,,,,石谷,石谷,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,60,16,#0068B7
駅,,,,,,,,本石倉,本石倉,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,59,17,#0068B7
駅,,,,,,,,石倉,石倉,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,58,18,#0068B7
駅,,,,,,,,落部,落部,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,57,19,#0068B7
駅,,,,,,,,野田生,野田生,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,56,20,#0068B7
駅,,,,,,,,山越,山越,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,55,21,#0068B7
駅,,,,,,,,八雲,八雲,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,54,22,#0068B7
駅,,,,,,,,鷲ノ巣,鷲ノ巣,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,53,23,#0068B7
駅,,,,,,,,山崎,山崎,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,52,24,#0068B7
駅,,,,,,,,黒岩,黒岩,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,51,25,#0068B7
駅,,,,,,,,北豊津,北豊津,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,50,26,#0068B7
駅,,,,,,,,国縫,国縫,北海道旅客鉄道株式会社,函館本線,,北海道旅客鉄道株式会社,函館本線,,1,1,,H,,49,27,#0068B7
