乗換駅,乗換駅の路線事業者,乗換駅の路線,グループ駅路線区別名,駅名,路線事業者(id),路線名(id),路線区別名(id),路線ごとの並び順,駅名読み,都道府県名,開業日,廃止日,経度,緯度,状態(旧)
青森,東日本旅客鉄道株式会社,奥羽本線,,青森,北海道旅客鉄道株式会社,青函航路,,1,あおもり,北海道,,,,,2
函館,北海道旅客鉄道株式会社,函館本線,,函館,北海道旅客鉄道株式会社,青函航路,,2,はこだて,北海道,,,,,2
木古内,北海道旅客鉄道株式会社,海峡線,,木古内,北海道旅客鉄道株式会社,江差線,,1,きこない,北海道,,,,,2
,,,,渡島鶴岡,北海道旅客鉄道株式会社,江差線,,2,おしまつるおか,北海道,,,,,2
,,,,吉堀,北海道旅客鉄道株式会社,江差線,,3,よしぼり,北海道,,,,,2
,,,,神明,北海道旅客鉄道株式会社,江差線,,4,しんめい,北海道,,,,,2
,,,,湯ノ岱,北海道旅客鉄道株式会社,江差線,,5,ゆのたい,北海道,,,,,2
,,,,宮越,北海道旅客鉄道株式会社,江差線,,6,みやこし,北海道,,,,,2
,,,,桂岡,北海道旅客鉄道株式会社,江差線,,7,かつらおか,北海道,,,,,2
,,,,中須田,北海道旅客鉄道株式会社,江差線,,8,なかすだ,北海道,,,,,2
,,,,上ノ国,北海道旅客鉄道株式会社,江差線,,9,かみのくに,北海道,,,,,2
,,,,江差,北海道旅客鉄道株式会社,江差線,,10,えさし,北海道,,,,,2
木古内,北海道旅客鉄道株式会社,海峡線,,木古内,北海道旅客鉄道株式会社,松前線,,1,きこない,北海道,,,,,2
,,,,森越,北海道旅客鉄道株式会社,松前線,,2,もりこし,北海道,,,,,2
,,,,渡島知内,北海道旅客鉄道株式会社,松前線,,3,おしましりうち,北海道,,,,,2
,,,,重内,北海道旅客鉄道株式会社,松前線,,4,おもない,北海道,,,,,2
,,,,湯ノ里,北海道旅客鉄道株式会社,松前線,,5,ゆのさと,北海道,,,,,2
,,,,千軒,北海道旅客鉄道株式会社,松前線,,6,せんげん,北海道,,,,,2
,,,,渡島福島,北海道旅客鉄道株式会社,松前線,,7,おしまふくしま,北海道,,,,,2
,,,,白符,北海道旅客鉄道株式会社,松前線,,8,しらふ,北海道,,,,,2
,,,,渡島吉岡,北海道旅客鉄道株式会社,松前線,,9,おしまよしおか,北海道,,,,,2
,,,,渡島大沢,北海道旅客鉄道株式会社,松前線,,10,おしまおおさわ,北海道,,,,,2
,,,,及部,北海道旅客鉄道株式会社,松前線,,11,およべ,北海道,,,,,2
,,,,松前,北海道旅客鉄道株式会社,松前線,,12,まつまえ,北海道,,,,,2
