乗換駅,乗換駅の路線事業者,乗換駅の路線,グループ駅路線区別名,駅名,路線事業者(id),路線名(id),路線区別名(id),路線ごとの並び順,駅名読み,都道府県名,開業日,廃止日,経度,緯度,状態(旧)
,,,,甲斐小泉,東日本旅客鉄道株式会社,小海線,,,かいこいずみ,,,,,,
,,,,蒲須坂,東日本旅客鉄道株式会社,東北本線,,,かますさか,,,,,,
,,,,岩手飯岡,東日本旅客鉄道株式会社,東北本線,,,いわていいおか,,,,,,
,,,,南与野,東日本旅客鉄道株式会社,東北本線,埼京線,,みなみよの,,,,,,
,,,,金島,東日本旅客鉄道株式会社,吾妻線,,,かなしま,,,,,,
,,,,伊勢崎,東日本旅客鉄道株式会社,両毛線,,,いせさき,,,,,,
,,,,下野大沢,東日本旅客鉄道株式会社,日光線,,,しもつけおおさわ,,,,,,
,,,,羽前千歳,東日本旅客鉄道株式会社,仙山線,,,うぜんちとせ,,,,,,
,,,,本塩釜,東日本旅客鉄道株式会社,仙石線,,,ほんしおがま,,,,,,
,,,,清水浜,東日本旅客鉄道株式会社,大船渡線,,,しずはま,,,,,,
,,,,大釜,東日本旅客鉄道株式会社,田沢湖線,,,おおかま,,,,,,
,,,,白銀,東日本旅客鉄道株式会社,八戸線,,,しろがね,,,,,,
,,,,会津西方,東日本旅客鉄道株式会社,只見線,,,あいづにしかた,,,,,,
,,,,横堀,東日本旅客鉄道株式会社,奥羽本線,,,よこぼり,,,,,,
,,,,大間越,東日本旅客鉄道株式会社,五能線,,,おおまごし,,,,,,
,,,,陸奥鶴田,東日本旅客鉄道株式会社,五能線,,,むつつるだ,,,,,,
,,,,五十川,東日本旅客鉄道株式会社,羽越本線,,,いらがわ,,,,,,
,,,,那古船形,東日本旅客鉄道株式会社,内房線,,,なこふなかた,,,,,,
,,,,南大高,東海旅客鉄道株式会社,東海道本線,,,みなみおおだか,,,,,,
,,,,常永,東海旅客鉄道株式会社,身延線,,,じょうえい,,,,,,
,,,,城西,東海旅客鉄道株式会社,飯田線,,,しろにし,,,,,,
,,,,下島,東海旅客鉄道株式会社,飯田線,,,しもじま,,,,,,
,,,,春田,東海旅客鉄道株式会社,関西本線,,,はるた,,,,,,
,,,,梅ケ谷,東海旅客鉄道株式会社,紀勢本線,,,うめがだに,,,,,,
,,,,比津,東海旅客鉄道株式会社,名松線,,,ひつ,,,,,,
,,,,摂津富田,西日本旅客鉄道株式会社,東海道本線,,,せっつとんだ,,,,,,
,,,,新旭,西日本旅客鉄道株式会社,湖西線,,,しんあさひ,,,,,,
,,,,安治川口,西日本旅客鉄道株式会社,大阪環状線,,,あじかわぐち,,,,,,
,,,,新平野,西日本旅客鉄道株式会社,小浜線,,,しんひらの,,,,,,
,,,,明石,西日本旅客鉄道株式会社,山陽本線,,,あかし,,,,,,
,,,,明石,西日本旅客鉄道株式会社,山陽本線,,,あかし,,,,,,
,,,,新井口,西日本旅客鉄道株式会社,山陽本線,,,しんいのくち,,,,,,
,,,,月田,西日本旅客鉄道株式会社,姫新線,,,つきだ,,,,,,
,,,,津山口,西日本旅客鉄道株式会社,津山線,,,つやまぐち,,,,,,
,,,,大安寺,西日本旅客鉄道株式会社,吉備線,,,だいあんじ,,,,,,
,,,,安芸幸崎,西日本旅客鉄道株式会社,呉線,,,あきさいざき,,,,,,
,,,,仁方,西日本旅客鉄道株式会社,呉線,,,にがた,,,,,,
,,,,浜河内,西日本旅客鉄道株式会社,小野田線,本山支線,,はまごうち,,,,,,
,,,,梅迫,西日本旅客鉄道株式会社,舞鶴線,,,うめざこ,,,,,,
,,,,加茂,西日本旅客鉄道株式会社,関西本線,,,かも,,,,,,
,,,,広川ビーチ,西日本旅客鉄道株式会社,紀勢本線,,,ひろかわびーち,,,,,,
,,,,志都美,西日本旅客鉄道株式会社,和歌山線,,,しずみ,,,,,,
,,,,伊予富田,四国旅客鉄道株式会社,予讃線,,,いよとみた,,,,,,
,,,,家地川,四国旅客鉄道株式会社,予土線,,,いえぢがわ,,,,,,
,,,,土佐一宮,四国旅客鉄道株式会社,土讃線,,,とさいっく,,,,,,
,,,,六反地,四国旅客鉄道株式会社,土讃線,,,ろくたんじ,,,,,,
,,,,九産大前,九州旅客鉄道株式会社,鹿児島本線,門司港～八代,,きゅうさんだいまえ,,,,,,
,,,,舞松原,九州旅客鉄道株式会社,香椎線,,,まいまつばら,,,,,,
,,,,別府,九州旅客鉄道株式会社,日豊本線,,,べっぷ,,,,,,
,,,,宮崎,九州旅客鉄道株式会社,日豊本線,,,みやざき,,,,,,
,,,,黒石,弘南鉄道株式会社,弘南線,,,くろいし,,,,,,
,,,,津軽中里,津軽鉄道株式会社,津軽鉄道線,,,つがるなかさと,,,,,,
,,,,山口団地,三陸鉄道株式会社,北リアス線,,,やまぐちだんち,,,,,,
,,,,川内,仙台市交通局,東西線,,,かわうち,,,,,,
,,,,仙台北港,仙台臨海鉄道株式会社,臨海本線,,,せんだいきたこう,,,,,,
,,,,秋田北港,秋田臨海鉄道株式会社,北線,,,あきたきたこう,,,,,,
,,,,真岡,真岡鐵道株式会社,真岡線,,,もおか,,,,,,
,,,,北真岡,真岡鐵道株式会社,真岡線,,,きたもおか,,,,,,
,,,,石原,秩父鉄道株式会社,秩父本線,,,いしわら,,,,,,
,,,,桜沢,秩父鉄道株式会社,秩父本線,,,さくらざわ,,,,,,
,,,,篠塚,東武鉄道株式会社,小泉線,館林～西小泉,,しのづか,,,,,,
,,,,堀米,東武鉄道株式会社,佐野線,,,ほりごめ,,,,,,
,,,,新鹿沼,東武鉄道株式会社,日光線,,,しんかぬま,,,,,,
,,,,大岡山,東京急行電鉄株式会社,目黒線,,,おおおかやま,,,,,,
,,,,穴守稲荷,京浜急行電鉄株式会社,空港線,,,あなもりいなり,,,,,,
,,,,大門,東京都（交通局）,1号線浅草線,,,だいもん,,,,,,
,,,,川崎貨物,神奈川臨海鉄道株式会社,浮島線,,,かわさきかもつ,,,,,,
,,,,中田,横浜市（交通局）,1号線,,,なかだ,,,,,,
,,,,半田埠頭,衣浦臨海鉄道株式会社,半田線,,,はんだふとう,,,,,,
,,,,小池,豊橋鉄道株式会社,渥美線,,,こいけ,,,,,,
,,,,吉良吉田,名古屋鉄道株式会社,蒲郡線,,,きらよしだ,,,,,,
,,,,大森・金城学院前,名古屋鉄道株式会社,瀬戸線,,,おおもり・きんじょうがくいんまえ,,,,,,
,,,,手力,名古屋鉄道株式会社,各務原線,,,てぢから,,,,,,
,,,,三柿野,名古屋鉄道株式会社,各務原線,,,みかきの,,,,,,
,,,,北勢中央公園口,三岐鉄道株式会社,三岐線,,,ほくせいちゅうおうこうえんぐち,,,,,,
,,,,二上山,近畿日本鉄道株式会社,南大阪線,,,にじょうざん,,,,,,
,,,,柏原南口,近畿日本鉄道株式会社,道明寺線,,,かしわらみなみぐち,,,,,,
,,,,柏原,近畿日本鉄道株式会社,道明寺線,,,かしわら,,,,,,
,,,,ウッディタウン中央,神戸電鉄株式会社,公園都市線,,,うっでぃたうんちゅうおう,,,,,,
,,,,白山,高松琴平電気鉄道株式会社,長尾線,,,しらやま,,,,,,
,,,,牛渕,伊予鉄道株式会社,横河原線,,,うしぶち,,,,,,
,,,,唐浜,土佐くろしお鉄道株式会社,阿佐線,,,とうのはま,,,,,,
,,,,西鉄中島,西日本鉄道株式会社,天神大牟田線,,,にしてつなかしま,,,,,,
,,,,箱崎宮前,福岡市（交通局）,2号線（箱崎線）,,,はこざきみやまえ,,,,,,
,,,,箱崎九大前,福岡市（交通局）,2号線（箱崎線）,,,はこざききゅうだいまえ,,,,,,
,,,,黒川,松浦鉄道株式会社,西九州線,,,くろごう,,,,,,
,,,,打越,熊本電気鉄道株式会社,菊池線,,,うちごし,,,,,,
,,,,再春医療センター前,熊本電気鉄道株式会社,菊池線,,,さいしゅんいりょうせんたーまえ,,,,,,
,,,,藤崎宮前,熊本電気鉄道株式会社,藤崎線,,,ふじさきぐうまえ,,,,,,
,,,,日奈久温泉,肥薩おれんじ鉄道株式会社,肥薩おれんじ鉄道線,,,ひなぐおんせん,,,,,,
,,,,ケーブル八幡宮口,京阪電気鉄道株式会社,鋼索線,,,けーぶるはちまんぐうぐち,,,,,,
,,,,ケーブル八幡宮山上,京阪電気鉄道株式会社,鋼索線,,,けーぶるはちまんぐうさんじょう,,,,,,
,,,,新整備場,東京モノレール株式会社,東京モノレール羽田空港線,,,しんせいびじょう,,,,,,
,,,,急患医療センター前,万葉線株式会社,高岡軌道線,,,きゅうかんいりょうせんたーまえ,,,,,,
,,,,栄町,東京都（交通局）,荒川線,,,さかえちょう,,,,,,
,,,,井原,豊橋鉄道株式会社,東田本線,,,いはら,,,,,,
,,,,井原,豊橋鉄道株式会社,東田本線,,,いはら,,,,,,
,,,,大阪港,大阪市高速電気軌道株式会社,4号線（中央線）,,,おおさかこう,,,,,,
